code;location;registered;envelopes;valid;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana
506761;Alojzov;205;145;144;21;0;0;15;0;17;49;3;7;2;2;0;17
589268;Bedihoöù;834;527;524;21;0;0;15;0;17;49;3;7;2;2;0;17
589276;BÌlovice-LutotÌn;431;279;275;21;0;0;15;0;17;49;3;7;2;2;0;17
589284;Biskupice;238;132;131;21;0;0;15;0;17;49;3;7;2;2;0;17
589292;Bohuslavice;376;236;236;21;0;0;15;0;17;49;3;7;2;2;0;17
589306;BousÌn;107;67;67;21;0;0;15;0;17;49;3;7;2;2;0;17
589314;Brodek u Konice;695;460;460;21;0;0;15;0;17;49;3;7;2;2;0;17
589322;Brodek u ProstÏjova;1†224;656;655;21;0;0;15;0;17;49;3;7;2;2;0;17
589331;B¯ezsko;178;111;111;21;0;0;15;0;17;49;3;7;2;2;0;17
589349;BudÏtsko;331;208;206;21;0;0;15;0;17;49;3;7;2;2;0;17
589357;Bukov·;264;170;169;21;0;0;15;0;17;49;3;7;2;2;0;17
589365;»ehovice;426;281;280;21;0;0;15;0;17;49;3;7;2;2;0;17
589381;»echy pod KosÌ¯em;814;512;512;21;0;0;15;0;17;49;3;7;2;2;0;17
589390;»elËice;437;272;272;21;0;0;15;0;17;49;3;7;2;2;0;17
589403;»elechovice na HanÈ;1†063;649;642;21;0;0;15;0;17;49;3;7;2;2;0;17
589420;DÏtkovice;427;284;281;21;0;0;15;0;17;49;3;7;2;2;0;17
589438;Dobrochov;270;172;170;21;0;0;15;0;17;49;3;7;2;2;0;17
589446;Dobromilice;629;308;308;21;0;0;15;0;17;49;3;7;2;2;0;17
589454;Doloplazy;459;244;244;21;0;0;15;0;17;49;3;7;2;2;0;17
589462;Drahany;443;290;287;21;0;0;15;0;17;49;3;7;2;2;0;17
558419;Drûovice;1†139;748;742;21;0;0;15;0;17;49;3;7;2;2;0;17
589489;D¯evnovice;380;220;219;21;0;0;15;0;17;49;3;7;2;2;0;17
589497;Dzbel;209;133;133;21;0;0;15;0;17;49;3;7;2;2;0;17
549967;HaËky;83;67;65;21;0;0;15;0;17;49;3;7;2;2;0;17
589501;Hluchov;292;174;173;21;0;0;15;0;17;49;3;7;2;2;0;17
589519;HornÌ ätÏp·nov;749;454;452;21;0;0;15;0;17;49;3;7;2;2;0;17
589527;HradËany-Kobe¯ice;326;196;194;21;0;0;15;0;17;49;3;7;2;2;0;17
589535;Hrdibo¯ice;178;109;109;21;0;0;15;0;17;49;3;7;2;2;0;17
589543;HrubËice;617;376;374;21;0;0;15;0;17;49;3;7;2;2;0;17
543543;Hruöka;191;90;88;21;0;0;15;0;17;49;3;7;2;2;0;17
589560;Hvozd;524;340;336;21;0;0;15;0;17;49;3;7;2;2;0;17
589578;IvaÚ;390;238;237;21;0;0;15;0;17;49;3;7;2;2;0;17
589586;Jesenec;246;139;139;21;0;0;15;0;17;49;3;7;2;2;0;17
589594;Kladky;289;140;140;21;0;0;15;0;17;49;3;7;2;2;0;17
589608;Klenovice na HanÈ;654;355;354;21;0;0;15;0;17;49;3;7;2;2;0;17
589616;Klopotovice;238;165;165;21;0;0;15;0;17;49;3;7;2;2;0;17
589624;Konice;2†285;1†393;1†358;21;0;0;15;0;17;49;3;7;2;2;0;17
589632;Kostelec na HanÈ;2†302;1†334;1†323;21;0;0;15;0;17;49;3;7;2;2;0;17
589641;Kov·lovice-OsÌËany;232;152;151;21;0;0;15;0;17;49;3;7;2;2;0;17
589659;Kralice na HanÈ;1†257;807;804;21;0;0;15;0;17;49;3;7;2;2;0;17
589667;KrumsÌn;465;284;284;21;0;0;15;0;17;49;3;7;2;2;0;17
589675;Laökov;487;335;334;21;0;0;15;0;17;49;3;7;2;2;0;17
589683;Leöany;320;196;194;21;0;0;15;0;17;49;3;7;2;2;0;17
589691;Lipov·;615;450;449;21;0;0;15;0;17;49;3;7;2;2;0;17
589705;LudmÌrov;480;239;239;21;0;0;15;0;17;49;3;7;2;2;0;17
589713;MalÈ Hradisko;309;185;185;21;0;0;15;0;17;49;3;7;2;2;0;17
589721;Mo¯ice;422;226;223;21;0;0;15;0;17;49;3;7;2;2;0;17
589730;Mostkovice;1†248;842;836;21;0;0;15;0;17;49;3;7;2;2;0;17
589748;Myslejovice;569;371;370;21;0;0;15;0;17;49;3;7;2;2;0;17
589756;NÏmËice nad Hanou;1†612;942;939;21;0;0;15;0;17;49;3;7;2;2;0;17
589764;Nezamyslice;1†140;619;615;21;0;0;15;0;17;49;3;7;2;2;0;17
589772;Niva;257;160;160;21;0;0;15;0;17;49;3;7;2;2;0;17
589799;ObÏdkovice;207;95;94;21;0;0;15;0;17;49;3;7;2;2;0;17
589802;Ohrozim;370;267;266;21;0;0;15;0;17;49;3;7;2;2;0;17
